Temperature,Humidity,Heat Index,CO,Smoke
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.3,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.2,22.02,0,0
22.6,42.1,22.01,0,0
22.6,42.1,22.01,0,0
22.6,42.1,22.01,0,0
22.6,42.0,22.01,0,0
22.6,42.1,22.01,0,0
22.6,42.1,22.0,0,0
22.6,42.1,22.01,0,0
22.6,42.1,22.01,0,0
22.6,42.1,22.01,0,0
22.7,42.1,22.12,0,0
22.6,42.0,22.01,0,0
22.6,42.0,22.01,0,0
22.6,42.1,22.01,0,0
22.7,42.1,22.12,0,0
22.7,42.1,22.12,0,0
22.7,42.1,22.12,0,0
22.7,42.1,22.12,0,0
22.7,42.1,22.12,0,0
22.7,42.1,22.12,0,0
22.7,42.2,22.13,0,0
22.7,42.2,22.13,0,0
22.7,42.3,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.5,22.14,0,0
22.7,42.5,22.14,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.5,22.14,0,0
22.7,42.4,22.13,0,0
22.7,42.5,22.14,0,0
22.7,42.5,22.14,0,0
22.7,42.5,22.14,0,0
22.7,42.5,22.14,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.4,22.13,0,0
22.7,42.3,22.13,0,0
22.7,42.3,22.13,0,0
22.7,42.3,22.13,0,0
22.7,42.2,22.13,0,0
22.7,42.3,22.13,0,0
22.7,42.3,22.13,0,0
22.7,42.3,22.13,0,0
22.7,42.2,22.13,0,0
22.7,42.2,22.13,0,0
22.7,42.2,22.13,0,0
22.7,42.2,22.13,0,0
22.7,42.1,22.12,0,0
22.7,42.1,22.12,0,0
22.8,42.0,22.23,0,0
22.7,42.0,22.12,0,0
22.8,42.1,22.23,0,0
22.8,42.0,22.23,0,0
22.7,42.0,22.12,0,0
22.8,42.0,22.23,0,0
22.7,42.0,22.12,0,0
22.8,42.0,22.23,0,0
22.7,42.0,22.12,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,42.0,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.9,22.23,0,0
22.8,41.8,22.23,0,0
22.8,41.8,22.23,0,0
22.8,41.8,22.23,0,0
22.8,41.7,22.22,0,0
22.8,41.7,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.6,22.22,0,0
22.8,41.7,22.22,0,0
22.8,41.7,22.22,0,0
22.8,41.7,22.22,0,0
22.8,41.7,22.22,0,0
22.8,41.7,22.22,0,0
22.8,41.8,22.23,0,0
22.8,41.7,22.22,0,0
22.8,41.8,22.23,0,0
22.8,41.7,22.22,0,0
22.8,41.7,22.22,0,0
22.8,41.8,22.23,0,0
22.8,41.7,22.22,0,0
22.9,41.8,22.34,0,0
22.9,41.8,22.34,0,0
22.9,41.8,22.34,0,0
22.9,41.7,22.33,0,0
22.9,41.7,22.33,0,0
22.9,41.7,22.33,0,0
22.9,41.7,22.33,0,0
22.9,41.7,22.33,0,0
22.9,41.7,22.33,0,0
22.9,41.6,22.33,0,0
22.9,41.6,22.33,0,0
22.9,41.7,22.33,0,0
22.9,41.7,22.33,0,0
